# ICD-10-CM Codes 2024 — Clinical Decision Intelligence Platform
# Format: CODE|SHORT_DESCRIPTION|FULL_DESCRIPTION
# Source: CMS ICD-10-CM FY2024 code set
# HCC-relevant codes are marked with [HCC]
E08.65|Diabetes due to underlying condition with hyperglycemia|Diabetes mellitus due to underlying condition with hyperglycemia [HCC]
E09.65|Drug or chemical induced diabetes with hyperglycemia|Drug or chemical induced diabetes mellitus with hyperglycemia [HCC]
E10.10|Type 1 diabetes mellitus with ketoacidosis without coma|Type 1 diabetes mellitus with ketoacidosis without coma [HCC]
E10.40|Type 1 diabetes mellitus with diabetic neuropathy unspecified|Type 1 diabetes mellitus with diabetic neuropathy, unspecified [HCC]
E10.65|Type 1 diabetes mellitus with hyperglycemia|Type 1 diabetes mellitus with hyperglycemia [HCC]
E10.9|Type 1 diabetes mellitus without complications|Type 1 diabetes mellitus without complications [HCC]
E11.10|Type 2 diabetes mellitus with ketoacidosis without coma|Type 2 diabetes mellitus with ketoacidosis without coma [HCC]
E11.21|Type 2 diabetes mellitus with diabetic nephropathy|Type 2 diabetes mellitus with diabetic nephropathy [HCC]
E11.22|Type 2 diabetes mellitus with diabetic chronic kidney disease|Type 2 diabetes mellitus with diabetic chronic kidney disease [HCC]
E11.40|Type 2 diabetes mellitus with diabetic neuropathy unspecified|Type 2 diabetes mellitus with diabetic neuropathy, unspecified [HCC]
E11.42|Type 2 diabetes mellitus with diabetic polyneuropathy|Type 2 diabetes mellitus with diabetic polyneuropathy [HCC]
E11.43|Type 2 diabetes mellitus with diabetic autonomic neuropathy|Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy [HCC]
E11.51|Type 2 diabetes mellitus with diabetic macular edema|Type 2 diabetes mellitus with diabetic macular edema [HCC]
E11.52|Type 2 diabetes mellitus with proliferative diabetic retinopathy|Type 2 diabetes mellitus with proliferative diabetic retinopathy [HCC]
E11.610|Type 2 diabetes mellitus with diabetic neuropathic arthropathy|Type 2 diabetes mellitus with diabetic neuropathic arthropathy [HCC]
E11.621|Type 2 diabetes mellitus with foot ulcer|Type 2 diabetes mellitus with foot ulcer [HCC]
E11.65|Type 2 diabetes mellitus with hyperglycemia|Type 2 diabetes mellitus with hyperglycemia [HCC]
E11.69|Type 2 diabetes mellitus with other specified complication|Type 2 diabetes mellitus with other specified complication [HCC]
E11.8|Type 2 diabetes mellitus with unspecified complications|Type 2 diabetes mellitus with unspecified complications [HCC]
E11.9|Type 2 diabetes mellitus without complications|Type 2 diabetes mellitus without complications [HCC]
E13.9|Other specified diabetes mellitus without complications|Other specified diabetes mellitus without complications [HCC]
I10|Essential (primary) hypertension|Essential (primary) hypertension
I11.0|Hypertensive heart disease with heart failure|Hypertensive heart disease with heart failure [HCC]
I11.9|Hypertensive heart disease without heart failure|Hypertensive heart disease without heart failure
I12.9|Hypertensive chronic kidney disease with CKD stage 1-4|Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease [HCC]
I25.10|Atherosclerotic heart disease of native coronary artery|Atherosclerotic heart disease of native coronary artery without angina pectoris [HCC]
I25.110|Atherosclerotic heart disease with unstable angina pectoris|Atherosclerotic heart disease of native coronary artery with unstable angina pectoris [HCC]
I48.0|Paroxysmal atrial fibrillation|Paroxysmal atrial fibrillation [HCC]
I48.11|Longstanding persistent atrial fibrillation|Longstanding persistent atrial fibrillation [HCC]
